MAKE,MODEL,MYR,OL,OW,OH,WB,CW,A1,B1,C1,D1,E1,F1,G1,TWF,TWR,WDIST
ACURA,ILX 4DR SEDAN,16,462,180,141,267,1415,125,54,30,79,114,100,94,151,152,60/40
ACURA,MDX 4DR SUV AWD,17,498,196,171,282,1970,124,186,40,89,120,104,111,169,168,58/42
ACURA,NSX,15,447,194,122,263,1725,N/A,N/A,N/A,N/A,N/A,N/A,N/A,166,162,42/58
ACURA,RDX 4DR SUV,19,474,190,167,275,1830,130,171,41,93,115,98,102,163,164,57/43
ACURA,TLX 4DR SEDAN FWD,18,484,185,145,278,1596,139,50,35,81,112,100,107,160,160,60/40
ACURA,TLX 4DR SEDAN SH-AWD,18,484,185,145,278,1700,139,50,35,81,112,100,107,160,160,61/39
ALFA ROMEO,4C 2DR COUPE,14,399,187,118,238,1118,114,25,26,81,105,86,75,164,160,41/59
ALFA ROMEO,4C 2DR SPIDER,14,399,187,118,238,1128,114,N/A,26,81,105,86,75,164,160,41/59
ALFA ROMEO,GUILIA BASE/Ti RWD 4DR SEDAN,16,465,185,141,282,1429,140,47,36,85,102,80,103,155,160,50/50
ALFA ROMEO,GUILIA QUADRIFOGLIO 4DR SEDAN,16,465,185,141,282,1603,140,47,36,85,102,80,103,155,160,50/50
ALFA ROMEO,GUILIA Ti AWD 4DR SEDAN,16,465,185,141,282,1530,140,47,36,85,102,80,103,155,160,50/50
ALFA ROMEO,STELVIO BASE/Ti,18,469,190,165,282,1660,138,143,39,95,104,87,102,161,165,52/48
ALFA ROMEO,STELVIO QUADRIFOGLIO,18,469,190,165,282,1750,138,143,39,95,104,87,102,161,165,53/47
ASTON MARTIN,DB11,17,476,194,128,281,1854,163,43,28,78,111,95,100,166,166,49/51
ASTON MARTIN,DBS SUPPERLEGGERA,19,471,194,128,281,1845,159,42,28,78,111,91,99,166,164,51/49
ASTON MARTIN,NEW VANTAGE,18,447,194,127,270,1530,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50/50
ASTON MARTIN,RAPIDE S 4DR SEDAN RWD,11,502,193,136,299,1990,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AUDI,A3 4DR SEDAN,14,446,180,142,264,1440,120,47,34,78,108,87,95,156,153,60/40
AUDI,A3 4DR SEDAN QUATTRO,14,446,180,142,264,1525,120,47,34,78,108,87,95,156,153,60/40
AUDI,A3 CABRIOLET,14,444,180,136,260,1625,120,64,31,81,126,87,97,154,151,60/40
AUDI,A3 SPORTBACK e-tron,15,431,179,143,264,1640,120,129,34,78,106,87,81,154,151,55/45
AUDI,A4 4DR SEDAN,16,473,181,140,282,1565,137,54,34,82,104,88,103,157,155,56/44
AUDI,A4 4DR SEDAN QUATTRO,16,473,181,140,282,1645,137,54,34,82,104,88,103,157,155,56/44
AUDI,A4 ALLROAD,17,475,184,149,282,1735,138,157,34,82,104,89,104,158,157,N/A
AUDI,A5 2DR CONVERTIBLE,17,467,185,137,276,1810,137,71,37,80,110,88,103,159,157,56/44
AUDI,A5 2DR COUPE,17,467,185,137,276,1635,137,54,37,80,110,88,103,159,157,56/44
AUDI,A5 SPORTBACK,17,474,184,138,283,1680,136,113,33,79,109,88,103,159,157,57/43
AUDI,A6 4DR SEDAN,19,494,189,146,292,1935,138,60,35,85,110,92,110,163,162,55/45
AUDI,A7 SPORTBACK 4DR SEDAN,18,497,191,142,293,1965,139,42,34,82,113,93,112,165,164,54/46
AUDI,A8 4DR SEDAN,18,517,195,147,300,1995,144,65,36,84,112,99,119,164,163,N/A
AUDI,A8L 4DR SEDAN,18,530,195,147,313,2030,144,65,36,84,112,99,119,164,163,N/A
AUDI,E-TRON 4DR SUV,19,490,194,163,293,2490,138,159,37,90,117,93,104,166,165,N/A
AUDI,Q3 4DR SUV,19,448,186,162,268,1535,119,134,36,74,111,90,91,158,158,N/A
AUDI,Q5 4DR SUV,17,466,189,166,282,1835,135,147,41,88,110,90,95,162,161,53/47
AUDI,Q7 4DR SUV 2.0 TFSI QUATTRO,15,505,197,174,299,2130,141,176,44,92,119,98,108,168,169,50/50
AUDI,Q7 4DR SUV 3.0 TFSI QUATTRO,15,505,197,174,299,2240,141,176,44,92,119,98,108,168,169,50/50
AUDI,Q8 4DR SUV,19,499,200,171,300,2145,142,153,39,91,112,98,101,168,169,N/A
AUDI,R8 2DR COUPE,16,443,195,122,265,1655,108,56,28,73,104,99,78,163,160,N/A
AUDI,R8 2DR SPYDER,17,443,195,122,265,1698,108,N/A,28,73,104,99,78,163,160,N/A
AUDI,RS3 SEDAN TFSI QUATTRO,14,448,180,140,263,1590,122,48,34,78,108,89,96,156,153,60/40
AUDI,RS5 2DR COUPE,18,472,186,136,277,1810,141,55,37,80,110,92,104,160,159,56/44
AUDI,RS5 SPORTBACK,19,475,184,138,283,1810,136,114,33,79,109,88,104,159,157,57/43
AUDI,RS7 4DR SPORTBACK 4.0 TFSI QUATTRO,14,501,191,142,291,2030,144,232,34,78,112,97,114,164,164,54/46
AUDI,S3 SEDAN TFSI QUATTRO,14,447,180,139,263,1565,120,49,34,78,108,87,97,155,153,60/40
AUDI,S4 4DR SEDAN,17,473,181,140,282,1720,137,54,34,82,104,88,103,157,155,56/44
AUDI,S5 2DR CONVERTIBLE,17,469,185,137,276,1920,137,71,37,80,110,88,104,159,157,56/44
AUDI,S5 2DR COUPE,17,469,185,137,276,1635,137,54,37,80,110,88,104,159,157,56/44
AUDI,S5 SPORTBACK,17,475,184,138,283,1680,136,113,33,79,109,88,104,159,157,57/43
AUDI,S6 4DR SEDAN 4.0 TFSI QUATTRO,11,492,187,146,291,1995,140,58,37,80,111,92,109,163,162,55/45
AUDI,S7 4DR SPORTBACK 4.0 TFSI QUATTRO,11,497,191,142,291,2045,140,230,34,78,112,93,112,164,164,54/46
AUDI,S8 PLUS 4DR SEDAN 4.0 TFSI QUATTRO,10,512,195,146,299,2125,146,67,32,82,114,100,114,163,163,56/44
AUDI,SQ5 4DR SUV,17,467,189,166,282,1995,135,147,41,88,110,90,95,162,161,53/47
AUDI,TT 2DR COUPE,16,418,183,135,251,1435,116,N/A,27,80,126,88,79,157,155,60/40
AUDI,TT ROADSTER 2DR CONVERTIBLE,16,418,183,135,251,1530,116,76,27,80,126,88,79,157,155,59/41
AUDI,TTS 2DR COUPE,16,419,183,134,251,1485,116,N/A,27,80,126,89,79,157,155,60/40
BENTLEY,BENTAYGA,16,514,200,174,299,2422,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,57/43
BENTLEY,CONTINENTAL 2DR CONV AWD GTC/GTC V-8/GTC SPEED/GTC V-8S,12,481,194,140,275,2495,N/A,N/A,N/A,N/A,N/A,N/A,N/A,162,161,N/A
BENTLEY,CONTINENTAL FLYING SPUR 4DR SEDAN AWD,14,530,192,149,307,2475,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BENTLEY,MULSANNE 4DR SEDAN LWB,18,583,193,154,352,2730,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BENTLEY,MULSANNE 4DR SEDAN SWB,11,558,193,152,327,2711,N/A,N/A,N/A,N/A,N/A,N/A,N/A,162,165,52/48
BENTLEY,NEW CONTINENTAL,18,485,196,141,285,2244,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BMW,2 SERIES 230i 2DR COUPE RWD,14,443,177,142,268,1608,134,53,34,81,104,78,96,152,156,50/50
BMW,2 SERIES 230i xDRIVE 2DR CABRIOLET,15,443,177,141,269,1808,134,64,34,81,121,78,96,152,153,50/50
BMW,2 SERIES 230i xDRIVE 2DR COUPE,14,443,177,142,268,1685,134,53,34,81,104,78,96,152,156,52/48
BMW,2 SERIES M240i 2DR CABRIOLET  RWD,15,443,177,141,269,1793,134,64,34,81,121,78,96,152,153,50/50
BMW,2 SERIES M240i 2DR COUPE RWD,14,443,177,142,268,1587,134,53,34,81,104,78,96,152,156,52/48
BMW,2 SERIES M240i xDRIVE 2DR CABRIOLET,15,443,177,141,269,1844,134,64,34,81,121,78,96,152,153,50/50
BMW,2 SERIES M240i xDRIVE 2DR COUPE,14,443,177,142,268,1661,134,53,34,81,104,78,96,152,156,54/46
BMW,3 SERIES 330i xDRIVE Gran Turismo,14,483,183,151,292,1760,141,119,38,82,108,81,110,154,159,49/51
BMW,3 SERIES 340i xDRIVE Gran Turismo,14,483,183,151,292,1800,141,119,38,82,108,81,110,154,159,49/51
BMW,3 SERIES TOURING 330i xDRIVE 4DR WAGON,13,463,181,143,281,1735,137,163,37,77,103,78,104,153,157,48/52
BMW,3-SERIES 330e 4DR SEDAN,19,471,183,144,285,N/A,143,51,36,82,108,80,106,158,160,N/A
BMW,3-SERIES 330i xDRIVE 4DR SEDAN,19,471,183,144,285,1545,143,51,36,82,108,80,106,158,160,N/A
BMW,3-SERIES M340i xDRIVE 4DR SEDAN,19,471,183,144,285,N/A,143,51,36,82,108,80,106,158,160,N/A
BMW,4 SERIES  430i xDRIVE 2DR CABRIOLET,14,464,183,138,281,1910,137,65,35,80,124,79,104,155,159,48/52
BMW,4 SERIES  430i xDRIVE 2DR COUPE,14,464,183,138,281,1681,137,53,35,80,106,79,104,155,159,51/49
BMW,4 SERIES  440i 2DR COUPE RWD,14,464,183,138,281,1688,137,53,35,80,106,79,104,155,159,51/49
